Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,2.5,2.880000114440918,2.299999952316284,2.4000000953674316,2.4000000953674316,12600
2021-01-11,2.8399999141693115,2.8399999141693115,2.4000000953674316,2.509999990463257,2.509999990463257,4900
2021-01-12,2.8399999141693115,7.130000114440918,2.8399999141693115,4.0,4.0,35000
2021-01-13,5.0,6.900000095367432,2.880000114440918,4.0,4.0,44800
2021-01-14,3.25,4.0,0.014999999664723873,2.75,2.75,23600
2021-01-15,2.009999990463257,2.9700000286102295,2.0,2.309999942779541,2.309999942779541,14300
2021-01-19,2.4100000858306885,3.240000009536743,2.4100000858306885,2.5299999713897705,2.5299999713897705,2600
2021-01-20,2.5999999046325684,2.5999999046325684,2.309999942779541,2.309999942779541,2.309999942779541,2000
2021-01-21,2.2799999713897705,2.309999942779541,2.049999952316284,2.309999942779541,2.309999942779541,9900
2021-01-22,2.3499999046325684,3.0,2.3499999046325684,2.359999895095825,2.359999895095825,500
2021-01-25,2.200000047683716,3.0,2.200000047683716,2.200000047683716,2.200000047683716,9200
2021-01-26,2.299999952316284,2.299999952316284,1.9199999570846558,1.9199999570846558,1.9199999570846558,1300
2021-01-27,2.240000009536743,2.240000009536743,2.0,2.0,2.0,2100
2021-01-28,2.0,2.0,2.0,2.0,2.0,600
2021-01-29,1.2000000476837158,1.6299999952316284,0.4000000059604645,1.6299999952316284,1.6299999952316284,34600
2021-02-01,1.149999976158142,1.559999942779541,1.149999976158142,1.559999942779541,1.559999942779541,400
2021-02-02,1.559999942779541,1.559999942779541,1.559999942779541,1.559999942779541,1.559999942779541,0
2021-02-03,1.7999999523162842,1.7999999523162842,1.600000023841858,1.600000023841858,1.600000023841858,2300
2021-02-04,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.2999999523162842,100
2021-02-05,0.7599999904632568,1.5,0.7599999904632568,1.5,1.5,500
