Date,Open,High,Low,Close,Adj Close,Volume
2019-06-03,96.25,96.25,96.25,96.25,96.25,0
2019-06-04,96.25,96.25,96.25,96.25,96.25,0
2019-06-05,96.25,96.25,96.25,96.25,96.25,0
2019-06-06,96.25,96.25,96.25,96.25,96.25,0
2019-06-07,96.25,96.25,96.25,96.25,96.25,0
2019-06-10,96.25,96.25,96.25,96.25,96.25,0
2019-06-11,96.25,96.25,96.25,96.25,96.25,0
2019-06-12,96.25,96.25,96.25,96.25,96.25,0
2019-06-13,96.25,96.25,96.25,96.25,96.25,0
2019-06-14,96.25,96.25,96.25,96.25,96.25,0
2019-06-17,96.25,96.25,96.25,96.25,96.25,0
2019-06-19,96.25,96.25,96.25,96.25,96.25,0
2019-06-20,96.25,96.25,96.25,96.25,96.25,0
2019-06-21,96.25,96.25,96.25,96.25,96.25,0
2019-06-24,96.25,96.25,96.25,96.25,96.25,0
2019-06-25,96.25,96.25,96.25,96.25,96.25,0
2019-06-26,96.25,96.25,96.25,96.25,96.25,0
2019-06-27,96.25,96.25,96.25,96.25,96.25,0
2019-06-28,96.25,96.25,96.25,96.25,96.25,0
2019-07-01,96.25,96.25,96.25,96.25,96.25,0
2019-07-02,96.25,96.25,96.25,96.25,96.25,0
2019-07-03,96.25,96.25,96.25,96.25,96.25,0
2019-07-05,96.25,96.25,96.25,96.25,96.25,0
2019-07-08,96.25,96.25,96.25,96.25,96.25,0
2019-07-09,96.25,96.25,96.25,96.25,96.25,0
2019-07-10,96.25,96.25,96.25,96.25,96.25,0
2019-07-11,96.25,96.25,96.25,96.25,96.25,0
2019-07-12,96.25,96.25,96.25,96.25,96.25,0
2019-07-15,96.25,96.25,96.25,96.25,96.25,0
2019-07-16,96.25,96.25,96.25,96.25,96.25,0
2019-07-17,96.25,96.25,96.25,96.25,96.25,0
2019-07-18,96.25,96.25,96.25,96.25,96.25,0
2019-07-19,96.25,96.25,96.25,96.25,96.25,0
2019-07-22,96.25,96.25,96.25,96.25,96.25,0
2019-07-23,96.25,96.25,96.25,96.25,96.25,0
2019-07-24,96.25,96.25,96.25,96.25,96.25,0
2019-07-25,96.25,96.25,96.25,96.25,96.25,0
2019-07-26,96.25,96.25,96.25,96.25,96.25,900
2019-07-30,96.25,96.25,96.25,96.25,96.25,0
