Date,Open,High,Low,Close,Adj Close,Volume
2019-06-03,4.0,4.0,4.0,4.0,4.0,120
2019-06-04,5.0,5.0,3.0,3.0,3.0,129
2019-06-05,4.0,4.0,2.0,2.0,2.0,631
2019-06-06,4.0,4.0,4.0,4.0,4.0,25
2019-06-07,3.0,3.0,3.0,3.0,3.0,100
2019-06-10,3.0,3.0,3.0,3.0,3.0,0
2019-06-11,3.0,3.0,3.0,3.0,3.0,60
2019-06-12,5.0,5.0,5.0,5.0,5.0,74
2019-06-13,4.0,4.0,4.0,4.0,4.0,135
2019-06-14,5.0,6.0,5.0,5.0,5.0,512
2019-06-17,5.0,5.0,5.0,5.0,5.0,0
2019-06-18,5.0,5.0,5.0,5.0,5.0,0
2019-06-19,3.0,5.0,3.0,5.0,5.0,197
2019-06-20,5.0,5.0,5.0,5.0,5.0,25
2019-06-21,3.0,6.0,3.0,6.0,6.0,60
2019-06-24,6.0,6.0,6.0,6.0,6.0,0
2019-06-25,6.0,6.0,6.0,6.0,6.0,0
2019-06-26,6.0,6.0,6.0,6.0,6.0,0
2019-06-27,6.0,6.0,6.0,6.0,6.0,0
2019-06-28,6.0,6.0,6.0,6.0,6.0,0
2019-07-01,6.0,6.0,6.0,6.0,6.0,0
2019-07-02,6.0,6.0,6.0,6.0,6.0,0
2019-07-03,6.0,6.0,6.0,6.0,6.0,0
2019-07-05,6.0,6.0,6.0,6.0,6.0,0
2019-07-08,6.0,6.0,6.0,6.0,6.0,0
2019-07-09,6.0,6.0,6.0,6.0,6.0,0
2019-07-10,6.0,6.0,6.0,6.0,6.0,0
2019-07-11,5.0,7.0,3.0,7.0,7.0,80
2019-07-12,7.0,7.0,7.0,7.0,7.0,0
2019-07-15,7.0,7.0,7.0,7.0,7.0,0
2019-07-16,7.0,7.0,7.0,7.0,7.0,0
2019-07-17,7.0,7.0,7.0,7.0,7.0,0
2019-07-18,4.0,7.0,4.0,7.0,7.0,10
2019-07-19,7.0,7.0,7.0,7.0,7.0,0
2019-07-22,7.0,7.0,5.0,5.0,5.0,23
2019-07-23,5.0,7.0,4.0,7.0,7.0,59
2019-07-24,7.0,7.0,7.0,7.0,7.0,0
2019-07-25,7.0,7.0,7.0,7.0,7.0,0
2019-07-26,7.0,7.0,7.0,7.0,7.0,0
2019-07-29,7.0,7.0,7.0,7.0,7.0,30
2019-07-30,7.0,7.0,7.0,7.0,7.0,30
2019-07-31,4.0,7.0,4.0,7.0,7.0,10
2019-08-01,7.0,7.0,7.0,7.0,7.0,30
2019-08-02,7.0,7.0,7.0,7.0,7.0,30
2019-08-05,7.0,7.0,7.0,7.0,7.0,30
2019-08-06,7.0,7.0,7.0,7.0,7.0,30
2019-08-07,6.0,8.0,6.0,8.0,8.0,157
2019-08-08,6.0,8.0,6.0,8.0,8.0,157
2019-08-09,6.0,8.0,6.0,8.0,8.0,157
2019-08-12,6.0,8.0,6.0,8.0,8.0,157
2019-08-13,6.0,8.0,6.0,8.0,8.0,157
2019-08-14,6.0,8.0,6.0,8.0,8.0,157
2019-08-15,6.0,8.0,6.0,8.0,8.0,157
2019-08-16,8.0,8.0,8.0,8.0,8.0,0
2019-08-19,5.0,7.0,5.0,7.0,7.0,12
2019-08-20,7.0,7.0,7.0,7.0,7.0,0
2019-08-21,8.0,8.0,7.0,7.0,7.0,467
2019-08-22,8.0,8.0,5.0,5.0,5.0,45
2019-08-23,3.0,8.0,2.0,3.0,3.0,1941
2019-08-26,3.0,4.0,3.0,4.0,4.0,810
2019-08-27,3.0,3.0,3.0,3.0,3.0,28
2019-08-28,3.0,3.0,3.0,3.0,3.0,0
2019-08-29,3.0,3.0,2.0,2.0,2.0,471
2019-08-30,2.0,2.0,2.0,2.0,2.0,0
2019-09-03,3.0,3.0,2.0,3.0,3.0,370
2019-09-04,3.0,3.0,3.0,3.0,3.0,0
2019-09-05,3.0,3.0,3.0,3.0,3.0,0
2019-09-06,4.0,20.0,4.0,16.0,16.0,10992
2019-09-09,21.0,21.0,8.0,16.0,16.0,1929
2019-09-10,17.0,85.0,15.0,76.0,76.0,5636
2019-09-11,75.0,75.0,41.0,43.0,43.0,2648
2019-09-12,42.0,50.0,32.0,43.0,43.0,1247
2019-09-13,43.0,60.0,40.0,58.0,58.0,625
2019-09-16,62.0,62.0,26.0,32.0,32.0,1140
2019-09-17,38.0,38.0,20.0,29.0,29.0,1446
2019-09-18,29.0,29.0,13.0,20.0,20.0,1539
2019-09-19,19.0,21.0,15.0,20.0,20.0,396
2019-09-20,25.0,50.0,20.0,24.0,24.0,567
2019-09-23,23.0,23.0,17.0,17.0,17.0,32
2019-09-24,20.0,20.0,12.0,12.0,12.0,198
2019-09-25,13.0,16.0,13.0,15.0,15.0,113
2019-09-26,19.0,19.0,15.0,15.0,15.0,161
2019-09-27,15.0,16.0,13.0,16.0,16.0,259
2019-09-30,16.0,16.0,16.0,16.0,16.0,19
2019-10-01,16.0,24.0,16.0,23.0,23.0,373
2019-10-02,25.0,27.0,22.0,22.0,22.0,339
2019-10-03,25.0,25.0,18.0,24.0,24.0,129
2019-10-04,25.0,25.0,17.0,17.0,17.0,105
2019-10-07,17.0,19.0,17.0,19.0,19.0,62
2019-10-08,19.0,22.0,17.0,20.0,20.0,358
2019-10-09,20.0,34.0,20.0,22.0,22.0,750
2019-10-10,22.0,22.0,21.0,21.0,21.0,97
2019-10-11,21.0,21.0,21.0,21.0,21.0,3
2019-10-14,22.0,24.0,20.0,22.0,22.0,162
2019-10-15,13.0,19.0,12.0,17.0,17.0,235
2019-10-16,17.0,17.0,17.0,17.0,17.0,80
2019-10-17,17.0,19.0,16.0,19.0,19.0,114
2019-10-18,17.0,21.0,17.0,21.0,21.0,89
2019-10-21,20.0,20.0,15.0,15.0,15.0,185
2019-10-22,15.0,15.0,13.0,13.0,13.0,79
2019-10-23,13.0,13.0,10.0,10.0,10.0,125
2019-10-24,15.0,20.0,15.0,20.0,20.0,105
2019-10-25,20.0,20.0,14.0,19.0,19.0,122
2019-10-28,12.0,25.0,12.0,25.0,25.0,293
2019-10-29,25.0,39.0,25.0,35.0,35.0,317
2019-10-30,35.0,39.0,30.0,39.0,39.0,191
2019-10-31,27.0,39.0,23.0,29.0,29.0,170
2019-11-01,30.0,32.0,19.0,19.0,19.0,103
2019-11-04,20.0,30.0,16.0,30.0,30.0,273
2019-11-05,21.0,21.0,21.0,21.0,21.0,20
2019-11-06,30.0,30.0,21.0,30.0,30.0,48
2019-11-07,22.0,24.0,15.0,20.0,20.0,217
2019-11-08,16.0,20.0,15.0,18.0,18.0,161
2019-11-11,28.0,28.0,18.0,18.0,18.0,72
2019-11-12,18.0,20.0,15.0,15.0,15.0,45
2019-11-13,12.0,27.0,11.0,24.0,24.0,147
2019-11-14,14.0,18.0,11.0,15.0,15.0,579
2019-11-15,21.0,21.0,12.0,12.0,12.0,135
2019-11-18,10.0,17.0,10.0,11.0,11.0,496
2019-11-19,14.0,17.0,14.0,17.0,17.0,135
2019-11-20,11.0,17.0,11.0,15.0,15.0,15
2019-11-21,12.0,15.0,10.0,11.0,11.0,401
2019-11-22,13.0,14.0,10.0,14.0,14.0,398
2019-11-25,14.0,14.0,14.0,14.0,14.0,14
2019-11-26,11.0,12.0,10.0,12.0,12.0,159
2019-11-27,10.0,13.0,10.0,13.0,13.0,30
