Date,Open,High,Low,Close,Adj Close,Volume
2019-06-03,49.0,49.0,49.0,49.0,49.0,0
2019-06-04,49.0,49.0,49.0,49.0,49.0,0
2019-06-05,49.0,49.0,49.0,49.0,49.0,0
2019-06-06,49.0,49.0,49.0,49.0,49.0,0
2019-06-07,49.0,49.0,49.0,49.0,49.0,0
2019-06-10,49.0,49.0,49.0,49.0,49.0,0
2019-06-11,49.0,49.0,49.0,49.0,49.0,0
2019-06-12,49.0,49.0,49.0,49.0,49.0,0
2019-06-13,49.0,49.0,49.0,49.0,49.0,0
2019-06-14,49.0,49.0,49.0,49.0,49.0,0
2019-06-17,49.0,49.0,49.0,49.0,49.0,0
2019-06-18,49.0,49.0,49.0,49.0,49.0,0
2019-06-19,49.0,49.0,49.0,49.0,49.0,100
2019-06-20,49.0,49.0,49.0,49.0,49.0,0
2019-06-21,49.0,49.0,49.0,49.0,49.0,0
2019-06-24,49.0,49.0,49.0,49.0,49.0,0
2019-06-25,49.0,49.0,49.0,49.0,49.0,0
2019-06-26,49.0,49.0,49.0,49.0,49.0,0
2019-06-27,49.0,49.0,49.0,49.0,49.0,0
2019-06-28,49.0,49.0,49.0,49.0,49.0,0
2019-07-01,49.0,49.0,49.0,49.0,49.0,0
2019-07-02,49.0,49.0,49.0,49.0,49.0,0
2019-07-03,49.0,49.0,49.0,49.0,49.0,0
2019-07-05,49.0,49.0,49.0,49.0,49.0,0
2019-07-08,49.0,49.0,49.0,49.0,49.0,0
2019-07-09,49.0,49.0,49.0,49.0,49.0,0
2019-07-10,49.0,49.0,49.0,49.0,49.0,0
2019-07-11,49.0,49.0,49.0,49.0,49.0,0
2019-07-12,49.0,49.0,49.0,49.0,49.0,0
2019-07-15,49.0,49.0,49.0,49.0,49.0,0
2019-07-16,49.0,49.0,49.0,49.0,49.0,0
2019-07-17,49.0,49.0,49.0,49.0,49.0,0
2019-07-18,49.0,49.0,49.0,49.0,49.0,0
2019-07-19,52.0,52.0,52.0,52.0,52.0,11500
2019-07-22,52.0,52.0,52.0,52.0,52.0,0
2019-07-23,52.0,52.0,52.0,52.0,52.0,0
2019-07-24,52.0,52.0,52.0,52.0,52.0,0
2019-07-25,52.0,52.0,52.0,52.0,52.0,0
2019-07-26,52.0,52.0,52.0,52.0,52.0,0
2019-07-29,52.0,52.0,52.0,52.0,52.0,11500
2019-07-30,47.0,47.0,47.0,47.0,47.0,10700
2019-07-31,48.09000015258789,49.15999984741211,48.09000015258789,49.15999984741211,49.15999984741211,200
2019-08-01,49.15999984741211,49.15999984741211,49.15999984741211,49.15999984741211,49.15999984741211,10700
2019-08-02,44.5099983215332,44.5099983215332,44.5099983215332,44.5099983215332,44.5099983215332,300
2019-08-05,44.5099983215332,44.5099983215332,44.5099983215332,44.5099983215332,44.5099983215332,300
2019-08-06,44.5099983215332,44.5099983215332,44.5099983215332,44.5099983215332,44.5099983215332,300
2019-08-07,44.5099983215332,44.5099983215332,44.5099983215332,44.5099983215332,44.5099983215332,300
2019-08-08,44.5099983215332,44.5099983215332,44.5099983215332,44.5099983215332,44.5099983215332,0
2019-08-09,44.5099983215332,44.5099983215332,44.5099983215332,44.5099983215332,44.5099983215332,300
2019-08-12,44.5099983215332,44.5099983215332,44.5099983215332,44.5099983215332,44.5099983215332,300
2019-08-13,40.06999969482422,40.06999969482422,40.06999969482422,40.06999969482422,40.06999969482422,600
2019-08-14,40.06999969482422,40.06999969482422,40.06999969482422,40.06999969482422,40.06999969482422,600
2019-08-15,40.06999969482422,40.06999969482422,40.06999969482422,40.06999969482422,40.06999969482422,600
2019-08-16,40.06999969482422,40.06999969482422,40.06999969482422,40.06999969482422,40.06999969482422,0
2019-08-19,40.06999969482422,40.06999969482422,40.06999969482422,40.06999969482422,40.06999969482422,0
2019-08-20,40.06999969482422,40.06999969482422,40.06999969482422,40.06999969482422,40.06999969482422,0
2019-08-21,40.06999969482422,40.06999969482422,40.06999969482422,40.06999969482422,40.06999969482422,0
2019-08-22,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,100
2019-08-23,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-08-26,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-08-27,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-08-28,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-08-29,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-08-30,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-09-03,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-09-04,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-09-05,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-09-06,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-09-09,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-09-10,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-09-11,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-09-12,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-09-13,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-09-16,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-09-17,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-09-18,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-09-19,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-09-20,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-09-23,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-09-24,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-09-25,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-09-26,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-09-27,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-09-30,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,37.45000076293945,0
2019-10-01,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,400
2019-10-02,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,0
2019-10-03,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,0
2019-10-04,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,0
2019-10-07,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,0
2019-10-08,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,0
2019-10-09,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,0
2019-10-10,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,0
2019-10-11,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,0
2019-10-14,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,0
2019-10-15,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,0
2019-10-16,36.25,36.25,36.08000183105469,36.08000183105469,36.08000183105469,700
2019-10-17,36.08000183105469,36.08000183105469,36.08000183105469,36.08000183105469,36.08000183105469,0
2019-10-18,36.08000183105469,36.08000183105469,36.08000183105469,36.08000183105469,36.08000183105469,0
